,RunningBack,Expected Touchdowns,Actual Touchdowns,Regression Score,Regression Score T/F
46,G.Edwards,3.642546320031775,3.0,0.6425463200317751,True
47,A.Kamara,3.639935984740104,2.0,1.639935984740104,True
48,R.Mostert,3.568000268823079,3.0,0.568000268823079,True
50,A.Jones,3.446245621950208,2.0,1.446245621950208,True
53,A.Mattison,3.35937440662761,5.0,-1.64062559337239,False
54,Br.Hall,3.3064440798975316,4.0,-0.6935559201024684,False
55,Mi.Carter,3.2498926488983537,3.0,0.24989264889835372,True
57,J.Robinson,3.140034170049055,3.0,0.14003417004905483,True
59,E.Mitchell,3.043961761063459,2.0,1.0439617610634588,True
60,R.White,2.9860226763836923,1.0,1.9860226763836923,True
61,S.Perine,2.9797656657764313,3.0,-0.020234334223568684,False
62,K.Drake,2.889647073646234,4.0,-1.110352926353766,False
65,J.Kelley,2.782087745869699,2.0,0.7820877458696991,True
66,Z.Moss,2.743982805519751,1.0,1.7439828055197508,True
67,J.Dobbins,2.6926479279817284,2.0,0.6926479279817284,True
68,C.Edwards-Helaire,2.508841135141065,3.0,-0.4911588648589351,False
69,E.Benjamin,2.4634124518241025,2.0,0.4634124518241025,True
70,D.Harris,2.443314742921449,3.0,-0.5566852570785512,False
74,C.Huntley,2.1828925290434014,1.0,1.1828925290434014,True
76,M.Ingram,1.9656153394114328,1.0,0.9656153394114328,True
77,Z.Knight,1.9497568989354739,1.0,0.9497568989354739,True
